metric,finetune_base,value,plage,inference_base
bias,base1,0.1554188666617891,0.25,UD
smad,base1,0.04059685788185794,0.25,UD
outl,base1,0.32273060923755703,0.25,UD
bias,base1,0.010920180584872766,0.75,UD
smad,base1,0.02099437309572659,0.75,UD
outl,base1,0.11586622890517168,0.75,UD
bias,base1,0.0044767521397571335,1.25,UD
smad,base1,0.02582966909704137,1.25,UD
outl,base1,0.1514545511310985,1.25,UD
bias,base1,-0.017781840170667525,1.75,UD
smad,base1,0.03386687973412603,1.75,UD
outl,base1,0.24996956043772253,1.75,UD
bias,base1,-0.036901056513711374,2.25,UD
smad,base1,0.05028700670325913,2.25,UD
outl,base1,0.3469915464597721,2.25,UD
bias,base1,-0.09440570019791407,2.75,UD
smad,base1,0.050172194479363365,2.75,UD
outl,base1,0.37461650244233546,2.75,UD
bias,base1,-0.07188954578116147,3.25,UD
smad,base1,0.042571193965194334,3.25,UD
outl,base1,0.30416666656105323,3.25,UD
bias,base1,-0.13480648646806317,3.75,UD
smad,base1,0.08797239194472249,3.75,UD
outl,base1,0.5789473677991972,3.75,UD
bias,base1,-0.25229807769770507,4.25,UD
smad,base1,0.12092597354892216,4.25,UD
outl,base1,0.5638629265923273,4.25,UD
bias,base1,-0.4105747092471115,4.75,UD
smad,base1,0.16456802832164166,4.75,UD
outl,base1,0.7116564373518011,4.75,UD
bias,base1,-0.597831126478251,5.25,UD
smad,base1,0.0165442225777965,5.25,UD
outl,base1,0.9629629272976693,5.25,UD
bias,base1,-0.6425210137110298,5.75,UD
smad,base1,0.08415255172253007,5.75,UD
outl,base1,0.9999997500000625,5.75,UD
bias,base2,0.1172012288654021,0.25,UD
smad,base2,0.028436140652968442,0.25,UD
outl,base2,0.233772589037234,0.25,UD
bias,base2,0.006640742502014203,0.75,UD
smad,base2,0.017515040890042827,0.75,UD
outl,base2,0.08984882033882094,0.75,UD
bias,base2,0.005005161524404453,1.25,UD
smad,base2,0.021744815883182,1.25,UD
outl,base2,0.12376964659176422,1.25,UD
bias,base2,-0.013671774261251097,1.75,UD
smad,base2,0.028208528083224955,1.75,UD
outl,base2,0.21125045658034516,1.75,UD
bias,base2,-0.02749310841644241,2.25,UD
smad,base2,0.04150977622219071,2.25,UD
outl,base2,0.2726006961439482,2.25,UD
bias,base2,-0.09189683973860516,2.75,UD
smad,base2,0.03841934922925669,2.75,UD
outl,base2,0.28612950100337,2.75,UD
bias,base2,-0.06567631112577424,3.25,UD
smad,base2,0.033998278643343226,3.25,UD
outl,base2,0.24097222213855132,3.25,UD
bias,base2,-0.10042195884714009,3.75,UD
smad,base2,0.06539494171843102,3.75,UD
outl,base2,0.49731471482565553,3.75,UD
bias,base2,-0.18096740826476604,4.25,UD
smad,base2,0.06592203891430078,4.25,UD
outl,base2,0.4174454815655904,4.25,UD
bias,base2,-0.3543356535488418,4.75,UD
smad,base2,0.4575244115747959,4.75,UD
outl,base2,0.607361959464037,4.75,UD
bias,base2,-0.6328691130966064,5.25,UD
smad,base2,0.019168481532351372,5.25,UD
outl,base2,0.9999999629629643,5.25,UD
bias,base2,-0.6554596529164087,5.75,UD
smad,base2,0.08765174137939998,5.75,UD
outl,base2,0.9999997500000625,5.75,UD
bias,base3,0.10562422352129962,0.25,UD
smad,base3,0.021845376488364297,0.25,UD
outl,base3,0.18627005487132475,0.25,UD
bias,base3,0.005775618827406273,0.75,UD
smad,base3,0.015044943949338637,0.75,UD
outl,base3,0.06852714361936842,0.75,UD
bias,base3,0.003425398783903101,1.25,UD
smad,base3,0.019135330981007195,1.25,UD
outl,base3,0.10042808486390563,1.25,UD
bias,base3,-0.010385288314390239,1.75,UD
smad,base3,0.025397499683147796,1.75,UD
outl,base3,0.1777060757227745,1.75,UD
bias,base3,-0.02515564315809727,2.25,UD
smad,base3,0.03688256433795503,2.25,UD
outl,base3,0.23401292886782565,2.25,UD
bias,base3,-0.08413122748347973,2.75,UD
smad,base3,0.03411428695805544,2.75,UD
outl,base3,0.24882932338949953,2.75,UD
bias,base3,-0.057123454869817084,3.25,UD
smad,base3,0.029303466361777955,3.25,UD
outl,base3,0.19409722215482736,3.25,UD
bias,base3,-0.07785559894944705,3.75,UD
smad,base3,0.05427766304768079,3.75,UD
outl,base3,0.40816326486770865,3.75,UD
bias,base3,-0.12069904489065637,4.25,UD
smad,base3,0.0492960027540587,4.25,UD
outl,base3,0.35514018580953216,4.25,UD
bias,base3,-0.20883497907799903,4.75,UD
smad,base3,0.07147597158526395,4.75,UD
outl,base3,0.42331288083857127,4.75,UD
bias,base3,-0.4812696171580292,5.25,UD
smad,base3,0.03939131617677424,5.25,UD
outl,base3,0.8888888559670793,5.25,UD
bias,base3,-0.6975574783551921,5.75,UD
smad,base3,0.03141900890565567,5.75,UD
outl,base3,0.9999997500000625,5.75,UD
bias,base1,0.12991063274053471,0.25,D
smad,base1,0.04456165181458776,0.25,D
outl,base1,0.3502650175131338,0.25,D
bias,base1,0.007672329051659937,0.75,D
smad,base1,0.026006102143023818,0.75,D
outl,base1,0.16424340329449558,0.75,D
bias,base1,-0.006356351921809582,1.25,D
smad,base1,0.03053468632585745,1.25,D
outl,base1,0.2070116860283741,1.25,D
bias,base1,-0.03139486338712181,1.75,D
smad,base1,0.04645993692462153,1.75,D
outl,base1,0.36296296251486054,1.75,D
bias,base1,-0.09080045655902853,2.25,D
smad,base1,0.0826226689537722,2.25,D
outl,base1,0.5205479440170139,2.25,D
bias,base1,-0.12048819324307032,2.75,D
smad,base1,0.06080787534227587,2.75,D
outl,base1,0.4835526299883137,2.75,D
bias,base1,-0.0708954116533988,3.25,D
smad,base1,0.050612375827757974,3.25,D
outl,base1,0.3602941149978374,3.25,D
bias,base1,-0.08651768438584514,3.75,D
smad,base1,0.05758876176563059,3.75,D
outl,base1,0.5172413614744358,3.75,D
bias,base1,-0.4545666753170382,4.25,D
smad,base1,0.19880405872404205,4.25,D
outl,base1,0.7692307100591762,4.25,D
bias,base1,-0.18658153131189834,4.75,D
smad,base1,0.02948191293576084,4.75,D
outl,base1,0.6666665555555741,4.75,D
bias,base1,-0.7502705305733486,5.25,D
smad,base1,0.0,5.25,D
outl,base1,0.9999990000010001,5.25,D
bias,base1,,5.75,D
smad,base1,,5.75,D
outl,base1,0.0,5.75,D
bias,base2,0.11687526233383894,0.25,D
smad,base2,0.03410689517771152,0.25,D
outl,base2,0.2835689044683883,0.25,D
bias,base2,0.013410515697387635,0.75,D
smad,base2,0.021810745673107368,0.75,D
outl,base2,0.13624124929018813,0.75,D
bias,base2,-0.0002498212234735506,1.25,D
smad,base2,0.026507397624532622,1.25,D
outl,base2,0.17139677230306244,1.25,D
bias,base2,-0.02985208038358715,1.75,D
smad,base2,0.04102176925328015,1.75,D
outl,base2,0.3086419749276025,1.75,D
bias,base2,-0.07104933718673127,2.25,D
smad,base2,0.06354984846567391,2.25,D
outl,base2,0.43150684832989306,2.25,D
bias,base2,-0.13533736230472182,2.75,D
smad,base2,0.05631106640416899,2.75,D
outl,base2,0.41447368284712605,2.75,D
bias,base2,-0.07360464627801189,3.25,D
smad,base2,0.038322936923286144,3.25,D
outl,base2,0.2647058804065744,3.25,D
bias,base2,-0.12995485121456438,3.75,D
smad,base2,0.10199463821230724,3.75,D
outl,base2,0.5172413614744358,3.75,D
bias,base2,-0.36795184368341416,4.25,D
smad,base2,0.43293769592645626,4.25,D
outl,base2,0.8461537810650938,4.25,D
bias,base2,-0.266014837094308,4.75,D
smad,base2,0.03239891201386703,4.75,D
outl,base2,0.8333331944444675,4.75,D
bias,base2,-0.7222307304973737,5.25,D
smad,base2,0.0,5.25,D
outl,base2,0.9999990000010001,5.25,D
bias,base2,,5.75,D
smad,base2,,5.75,D
outl,base2,0.0,5.75,D
bias,base3,0.13091972987906378,0.25,D
smad,base3,0.02903342443314405,0.25,D
outl,base3,0.2314487631486534,0.25,D
bias,base3,0.024779357225154376,0.75,D
smad,base3,0.019789906483884647,0.75,D
outl,base3,0.12385568117289832,0.75,D
bias,base3,-0.004972641899606842,1.25,D
smad,base3,0.024003797566107984,1.25,D
outl,base3,0.14023372279341473,1.25,D
bias,base3,-0.023657390288557227,1.75,D
smad,base3,0.036266155718746675,1.75,D
outl,base3,0.2629629626383173,1.75,D
bias,base3,-0.07590265992045825,2.25,D
smad,base3,0.05487925647337066,2.25,D
outl,base3,0.3835616429599049,2.25,D
bias,base3,-0.13974945108057357,2.75,D
smad,base3,0.05589851826660199,2.75,D
outl,base3,0.41118420917373616,2.75,D
bias,base3,-0.05344433895580339,3.25,D
smad,base3,0.03322391745636581,3.25,D
outl,base3,0.22058823367214533,3.25,D
bias,base3,-0.07413067484694494,3.75,D
smad,base3,0.051957981643620456,3.75,D
outl,base3,0.3103448168846615,3.75,D
bias,base3,-0.25503137453650987,4.25,D
smad,base3,0.21742815109290028,4.25,D
outl,base3,0.6923076390532585,4.25,D
bias,base3,-0.13227084708057754,4.75,D
smad,base3,0.03560192971159195,4.75,D
outl,base3,0.33333327777778704,4.75,D
bias,base3,-0.7047058554498894,5.25,D
smad,base3,0.0,5.25,D
outl,base3,0.9999990000010001,5.25,D
bias,base3,,5.75,D
smad,base3,,5.75,D
outl,base3,0.0,5.75,D
